imfuziselo utshintshiselwano
isikweletu intsilelo
ukubonelana ukuhlangabezana
ukulingana ukuhlangabezana
ukungaphumeleli ukusilela
inkokhelo ukudibanela
ilungelobunikazi ilungelo
ukwehla umlinganiso
abasebenzi abasebenzi
intela irhafu
ibhizinisi imbumba
izindleko indleko
izindleko indleko
ireshiyo ulwalamano
ukuhlaziya uhlalutyo
ukulungiswa ulungiso
ukubeka ukubeka
ukwehla unyuko
ukwehla unyuko
izindleko iindleko
ukwehla ukwehla
imixhaso iintlawulo
amandla ukuvumelelanisa
i-ikhwilibriyamu uzinzo
indlela umzekelo
inyonyana umbutho
uhlelo inkqubo
ukubulala imveliso
ukwesabisa uloyikiso
ukufakela ikhredithi
usilingi imida
okuphindaphinda isiphindaphindi
inyonyana umbutho
inguqunguquko umlinganiso
inguqunguquko umlinganiso
inguqunguquko umlinganiso
imininingwane idata
imixhaso ukuxhasa
indlela umzekelo
ukugcwala ukuphungula
imithelela isiphumo
isisusa ukubanga
ukwenyuka ukunyuka
ukwehla ukwehla
ukungenelela ukuxhasa
inyonyana intlangano
ibhalansi ibhalansi
amanani iintengo
inhlangano intlangano
idefisithi intsilelo
ukuntuleka intswela-ngqesho
isabelomali uqingqomali
ukulahlekelwa ilahleko
ukulahlekelwa ilahleko
ama-debentures izibambiso
ukudonsa idebithi
isikweletu ityala
ukukhokhela ukuhlawula
ireshiyo ulwalamano
amadesili amaxabiso
ukudonda ukubambezeleka
isihlahla isazobe
imboni ishishini
imbono ishishini
imali enokuncitshiswa
imali intsilelo
ukwehlisa ukwehlisa
ukwehla unciphiso
idefisithi umsantsa
inqubomgomo umgaqonkqubo
imfunosidingo imfuneko
igwinci igophe
igwinci igophe
okumayelana umba
izidingo imfuneko
izidingo imfuneko
ifankshini ifankshini
ukuphatha ulawulo
izinqubomgomo imigaqonkqubo
ishejuli ishedyuli
ishejuli ishedyuli
ukuntuleka intswela-ngqesho
ukwehla unyuko
inqubomgomo umgaqonkqubo
izimpahla iimpahla
ukwencika ukuxhomekeka
idiphozi intlenge
inzuzo izinga
izikhungo amaziko
okuphindaphinda isiphindaphindi
yehla ukwehla
ukwehla ukwehla
ukwehla ukwehla
ukwehla ukwehla
ukuhoxiswa ukuphelisa
Iiidingo imfuneko
ukugembula intelekelelo
imithelela izimiseli
imithelela izimiseli
imithelela izimiseli
imithelela izimiseli
imithelela izimiseli
idiveluweshini ukuthoba
amazwe amazwe
izimpahla iimpahla
i-oligopholi ukhuphiswano
umkhiqizo imveliso
UNK ukwahlula
utaku ingxaki
izinga izinga
izinga izinga
inzuzo iimbuyekezo
ukwaneliseka uncedo
ukwaneliseka uncedo
izinga izinga
inzuzo iinzuzo
ukutshala utyalomali
uhlelo inkqubo
ukukhokha iintlawulo
intela iirhafu
ukuntanta ukudada
isaphulelo isaphulelo
inzalo izinga
ukudisikhawunta ukunika
abasebenzi abasebenzi
inqubomgomo umgaqonkqubo
UNK ucalu-calulo
ikhofishiyenti inani
ukukhuphuka isikali
ukuntuleka intswela-ngqesho
ukuntuleka ukufihla
ukwehla uguqulo
ukuphambuka uguqulo
UNK ingeniso
ukusaphaza ukuguqula
ukungasebenzisi ukungabinaluncedo
ukukhula ukutshintsha
imivuzo izahlulo
i-doha umjikelo
ngaphakathi ezekhaya
ukwakheka ukwakheka
imali imali
umkhiqizo imveliso
intengo ixabiso
ubuholi ubunkokheli
inqubomgomo umdlalo
ukutheliswa urhafiso
ukungqubuzana ukukhawulelana
ukuwa ukutshona
ukulahla ukulahlela
i-duopoly ishishini
inguganaboya impahla
umsebenzi umsebenzi;
hola ukwamkela
imbuyiselomali ikhredithi
abahola abamkeli
amaholo imivuzo
imali imali
i-econometrics idata
ucwaningo uhlalutyo
ukunqwabelana ukuhlangana
izindleko indleko
ukuthatha ukwenza
ukuthuthukiswa uphuhliso
ukubandlulula ucalulo
ingcophelelo ubuchule
impahla iimpahla
ukukhula uhlumo
umthetho umthetho
ukulahlekelwa ilahleko
indlela umzekelo
umqondo imbono
inqubomgomo umgaqonkqubo
inqubomgomo umgaqo
inzuzo inzuzo
inzuzo intlawulo
izinsizakusebenza umithomo
uhlelo inkqubo
ithiyori ingcingane
inyonyana umbutho
amayunithi iiyunithi
ezomnotho ezoqoqosho
isikali isikali
ukwehlisa amaqoqosho
inkinga ingxaki
i-ECU i-ECU
izinhlelo imfuneko
ukwenyuka ukhuselo
ngokugculisayo ukusebenza
izimo imiba
ukulahlekelwa ubuchule
iholo umvuzo
ihayiphothesisi ingcinga
izinga izinga
ihaphothesisi ingcinga
ukwaba ubuchule
nwebekayo erekayo
izidingo imfuneko
ukuphakelwa unikelo
imbuyiselasimweni umlinganiso
ikhofishiyenti inani
ukubandlulula ucalulo
izinga izinga
i-EMS i-EMS
ithiyori ingcinga
ukuphakelwa unikelo
igwinci into
igwinci igophe
umhlomulo unikelo
umsungulibhizinisi umrhwebi
ukusungula uburhwebi
igwinci igophe
imali iintlawuliso
UNK ukulingana
ukulingana isisulu
i-ikhweyishini umlinganiso
izinga umphakamo
imali uzinzo
isimokulingana intengo
izinga umphakamo
isimokulingana ubungakanani
umkhiqizo imveliso
ukuntuleka uzinzo
inqubomgomo umgaqo
okwenzelela enobulungisa
amasheya izabelo
UNK isabelo
i-ERM i-ERM
izimpahla iimpahla
i-euro iyuro
Inhlangano uManyano
umthwalo umthwalo
amandla umthwalo
amandla umthwalo
izidingo imfuneko
okugodliwe ugqithiso
ukuphakela ugqithiso
ukushintshaniselana utshintshiselwano
ukulawula ulawulo
isilinganiso izinga
ibhendi umda
inkomba isalathiso
ukunyuka ukugqithela
umbuso ulawulo
isilinganiso izinga
ukwenyuka ukunyuka
ukwehla ukwehla
okunomthelela isimiseli
intela irhafu
ukukhishelwa ukubanakho
ubunyonyana umbutho
ukusetshenziswa inkcitho
isu indlela
ukuphakelwa unikelo
unguqunguqu into
imboni ishishini
indlela indlela
inqubomgomo umgaqonkqubo
okulindelekile izinto
igwinci igophe
inzuzo izinga
ukusetshenziswa inkcitho
ukusetshenziswa ukutshintsha
ukusetshenziswa ukutshintsha
ukusetshenziswa ukutshintsha
ukusetshenziswa ukutshintsha
indlela indlela
indlela indlela
izindleko iindleko
imali iinkxaso
igwinci igophe
ukudayisa intengiselwano
impahla iimpahla
ibhalansi ibhalansi
imihlomulo amancedo
izindleko iindleko
isikweletu ityala
ukwehla ulwehliso-mveliso
izinjongo iinjongo
ukuzinza uzinzo
izindleko ezangaphandle
izindleko okwangaphandle
inani ixabiso
inani umba
uhlelo umba
imali umba
ukunciphisa umba
iziliphu umiba
okokukhiqiza imiba
intengo intengo
iphutha isiphosiso
inkinga ingxaki
imali imali
izimpahla iimpahla
izinsizakalo iinkonzo
i-akhawunti iakhawunti
i-akhawunti iakhawunti
impahla inkunzi
ukunqwabelana ukungamkeli
ukususa ukuphelisa
ukukhululeka ukuguquguquleka
abasiza oonozakuzaku
ukulungisa ukulungelelanisa
qinile eqinileyo
isixazululo isisombululo
ukubiza ucalulo
ukuzuza ingeniso
ukulawulwa indlela
ukunensisa ukucotha
inqubomgomo umgaqonkqubo
ukuzithiba isithintelo
ukulungisa ukwakhiwa
isimo isimo
izindleko indleko
izinga izinga
isimo umba
okusetshenziswayo amagalelo
utshalomali utyalomali
insizakusebenza umthombo
ukuxhumanisa umbutho
izinga izinga
ifemu umzimveliso
ukuntanta ukudada
izinga izinga
geleza qukuqela
uhlelo inkqubo
ukuncintisana imalike
imakethe ukhuphiswano
otshala umtyalimali
uhlobo utshintshiselwano
ukulawula ulawulo
imakethe imalike
izinga izinga
imithethomigomo imimiselo
umkhakha icandelo
imakethe imalike
imakethe imalike
imibuzo imibuzo
i-fractional iqhezu
indlela inkqubo
ukuboleka ukunika
izimpahla iimpahla
imakethe imalike
umsebenzisi umntu
ukusebenzisa ukusebenzisa
uhwebo ushishino
inhlangano indawo
inkululeko inkululeko
inkululeko inkululeko
isilinganiso izinga
umnotho imalike
inkinga ingxaki
ukuntuleka intswela-ngqesho
ukuntuleka intswela-ngqesho
imihlomulo amancedo
ukuqashwa ingqesho
ukukhiqiza imveliso
isabelomali uqingqomali
izinga umphakamo
izinga umphakamo
isilinganiso umlinganiselo
izimali ezemali
ukugugcogconiyswa ububhetyebhetye
ubudlwelane ubudlelwane
ukuxhaswa ukuxhasa
intengo intengo
imakethe imalike
i-G8 i-G8
okuzuzwe iinzuzo
ithiyori ingcingane
i-GDP i-GDP
isithobi isithobi
i-GDP umsantsa
inkomba isalathiso
isikweletu ityala
idefisithi intsilelo
insalela intsalela
ukuba ukungashenxi
impahla impahla
ikhofishiyenti inani
ireshiyo ulwalamano
i-GNY i-GNY
igolide igolide
uhlelo umgangatho
izinga izinga
umthetho umthetho
amabhondi iibhondi
ukungaphumeleli ukusilela
ubunikazi ubumnini
ukuthenga izinto
ukusebenzisa intsebenziso
insalela intsalela
imali intlawulo
imvume uncedo
intela irhafu
inqubo inkqubo
isamba iyonke
ukusetshensizwa iyonke
i-gross imveliso
utshalomali utyalomali
imali iyonke
utshalomali lulonke
inani uxabiso
Iqembu Iqela
ukukhula ukukhula
ukukhulisa ukukhulisa
ifankshini umsebezi
izinhlangano imibutho
umbono Heckscher–Ohlin
inkomba isalathiso
izimpahla iimpahla
imikhiqizo iimveliso
inhlangano umbutho
izindleko iindleko
izindleko iindleko
umncintiswano ukhuphiswano
izimpahla iimpahla
i-oligopoly ukhuphiswano
imikhiqizo iimveliso
ukubonelela ubulungisa
ukuhlangana umanyano
imali ingeniso
UNK inkunzi
ukuncisha ucalulo
ukutshalela utyalo
Inkomba Isalathiso
ukwehla ukunyuka
ukusilela ukuphikelela
imali iibhalansi
izimpahla iimveliso
inkinga ingxaki
IMF UNK
ukunganyakazi ukungashukumi
ukudonda ukubambezeleka
ukuncintisana ukhuphiswano
ukudonda ukubambezela
izindleko indleko
umncintiswano ukhuphiswano
igwinci igophe
intela intlawulo
isabelo isabelo
ukukhiqiza ukuthathela
impahla izinto
izimboni inkqubo
ifankshini umsebenzi
uhlelo isicwangciso
isenzeko isiganeko
ubunyonyana umbutho
indlela indlela
ukwabiwa ukwabiwa
umthelela isiphumo
umthelela isiphumo
umthelela isiphumo
umthelela isiphumo
ukuguquguquka umlinganiselo
ukuguquguquka ulwalamano
ukuguquguquka ulwalamano
ukungaguquguquki ulwalamano
ukungalingani ukungalingani
indlela indlela
igwinci igophe
uhlelo inkqubo
inqubomgomo umgaqonkqubo
ukwenyuka ukwanda
ukwenyuka ukwanda
imboni ukwanda
izinzuzo unyuko
ukwenyuka ukwandisa
inzuzo unyuko
imboni ishishini
ukuzimela ukuzimela
izimpahla iimpahla
izehlakalo imingcipheko
see into
inombolo inombolo
ukwenza ukwenza
igwinci igophe
imephu imephu
isethi iseti
isu indlela
izidingo imfuneko
ukuphakela unikelo
ukungahlukaniseki ukungahlukaniseki
ukusebenzisa intsebenziso
ukuthenga iimpahla
utshalomali utyalomamali
izinqubomigomo imigaqonkqubo
ukuzinza uzinzo
ukuphakela unikelo
okungaguquguquki inguqunguquko
izidingo imfuneko
UNK UNK
imboni ishishini
izimpahla iimpahla
ukwenyuka ukunyuka
igebe umsantsa
umkhakha icandelo
ingqalasizinda izibonelelo
imijovo imifakelo
ukucubungula uhlalutyo
okusetshenziswa imifakelo
abangaphakathi abangaphakathi
ukudingana UNK
intshisekelo inzala
ukungenelela iinkqubo
izimpahla iimpahla
ukuzinza ibhalansi
izinjongo iinjongo
izinga izinga
idifisithi intsilelo
insalela intsalela
izinga umgangatho
ukuhlanganisa ungqinelaniso
ukuphakelwa ukuba
Isikhwama Ingxowamali
imali oovimba
okuphindaphinda isiphindi
inani ixabiso
intengo ixabiso
izinqubomgomo imigaqonkqubo
inani ixabiso
ukusungula uyilo
izinhla izintlu
ukwenyuka ukuxabisa
ubudlelwano inguqulelo
ithiyori ingcingane
utshalomali utyalomali
igwinci igophe
ifankshini ifankshini
izimpahla iimpahla
ukutshalela utyalomali
isheduli ishedyuli
ukusebenzisa ukusebenzisa
isandla isandla
indlela umzekelo
umugqa umgca
umugqa umgca
umthelela isiphumo
ukugodla ukugcinela
ukukhula uhlumo
ukundizisana ukubhabha
ukukhiqiza unikelo
izindlela iindlela
ezomnotho uqoqosho
indlela umzekelo
isu inkqubo
imibono inkqubo
igwinci igophe
isisebenzi abasebenzi
ibutho iqela
umkhiqizo ukuvelisa
ithiyori ingcingane
inyonyana umbutho
izinga izinga
impahla impahla
ireshiyo ulwalamano
ukuguquguquka ukuguquguquleka
igwinci igophe
Ikhephithalizimu I-Laissez-faire
umhlaba umhlaba
umhlaba umhlaba
umkhiqizo imveliso
umthetho umthetho
umthetho umthetho
umthetho umthetho
umthetho umthetho
umthetho umthetho
umthetho umthetho
umthetho umthetho
umthetho umthetho
umthetho umthetho
umthetho umthetho
izinkomba izalathisi
ukuvuza ukuvuza
ukufunda ukufunda
izindleko umxube
ithiyori umgaqo
indlela umfudukeli
imali imali
umbolekisi umbolekisi
amandla ukukwazi
amandla ukukwazi
izikweletu amatyala
isikweletusibopho ityala
isikole isikolo
ukukhishwa ukufumana
ukubeka ukubeka
isikweletu ukuba
inkampani inkampani
ukudayisa ukuguqulekela
ukukhetha imfuneko
isilinganiso ulwalamano
unoxhaka umgibe
imalimboleko imali-mboleko
imali imali
imalimboleko umgaqo
ukuvalela ukuvalelwa
ukukhiyela ukuvalelwa
ukushintshisana ukuvotelana
isikhathi ithuba
isikhathi ithuba
igwinci igophe
igwinci igophe
ukulingana ukulingana
izindleko iindleko
inkinga ingxaki
izindleko iindleko
igwinci igophe
ukukhuliswa ukwenza
iphoyinti apho
igwinci igophe
ukulahlekelwa ilahleko
intela irhafu
okokuzitika ubugocigoci
i-M1 i-M1
i-M2 i-M2
i-M3 i-M3
ukushaqeka umothuko
ezomnotho uqoqosho
ukuguquleka ububhetyebhetye
ukuguquleka izinga
izinqumo amalungelo
okuncane okusecaleni
uhlaziyo uhlalutyo
umhlomulo ingenelo
inani umlinganiselo
inani umlinganiselo
insalela intsalela
izindleko iindleko
iziengezekile iindleko
izindleko iindleko
isengezo ukusokolela
inzuzo ukusebenza
umkhiqizo imveliso
umkhiqizo imveliso
ithiyori umgaqo
ithiyori umgaqo
ingxenye utyekelo
ingxenye utyekelo
ingxenye utyekelo
ingxenye utyekelo
isilinganiso izinga
intela izinga
inani izinga
inani izinga
isengezo iindleko
isengezo ingeniso
isengezo imveliso
isilinganiso utyekelo
inguquko izinga
ukugciliseka inkonzo
indlela indlela
hweba ukuthengisa
ukushaqwa ukuphela
izidingo imfuneko
uhlelo inkqubo
umnotho uqoqosho
ukwehluleka ukusilela
imakethe imakethi
imakethe imakethi
imakethe imakethi
isimomthelela ukusebenza
izimalimboleko imalimboleko
isikhathi ithuba
amanani iintengo
ukushoda ukushota
isakhiwo ukumila
ukuphakelwa ukufumaneka
insalela okuseleyo
uhlelo inkqubo
amabhodi iibhodi
izinqubomgomo iipolisi
imali umlinganiselo
umbandela imeko
izimpahla impahla
isimo umgangatho
inguquko utshintsho
isu inkqubo-qhinga
isu inkqubo-qhinga
inani intengo
i-avareji umlinganiselo
indlela iindlela
indlela iindlela
imihlomulo iingenelo
inombolomphahlo imidiyeni
indlela umzekelo
okokushintshisana uhlobo
izindleko iindleko
ukuhlanganisa intlanganisela
okukawonkewonke iimpahla
ukwahlukahlukaniswa uhlobo
ezomnotho uqoqosho
izinga isikali
intengo elona
ireshiyo owona
iholo owona
umnotho uqoqosho
uhlelo inkqubo
umnotho uqoqosho
umnotho uqoqosho
ukushintsha ukufudeka
umbono ulawulo-mali
osomnotho oosolawulo-mali
isisekelo isiseko-mali
ukulawulwa ulawulo
umphindaphindi uphindaphindo-mali
inqubomgomo ipolisi
umthetho umthetho-mali
imali imali
imali inkunzi
ukuphuma ukuhamba
ukukhohliseka okungathi
imali ingeniso
imakethe imakethi
ama-akhawunti iiakhawunti
izikhwama iiakhawunti
umphindaphindi uphindaphindo-mali
ukuphakelwa ukufumaneka
usomabhizinisi usomonopoli
umncintiswano ukhuphiswano
imonopsoni imonopsoni
ukushitnsha ingxaki
umnyakazo ukuhambela
umnyakazo ukuhambela
i-MR umthetho
i-MRP umthetho
izinkampani iinkampani
ukubala ukubala
umphindaphindi uphindaphindo
umphindaphindi ukuphindaphinda
umphumela umphumo
ifomula ifomula
isimo ukuxhomekeka
ukwamukelwa ukwamkelana
imali ingcaciso
ukulinganisa i
isikweledu ityala
ukuchithwa inkcitho
ingenisomali ingeniso
amasu ubalomali
izimboni ushishino
izinga umgangatho
izinga umgangatho
imonopholi imonopoli
izinga izinga
izinsizakalo indyebo
ukulahleka inkcitho
duzane okuphantse
isimompoqo isidingo
izidingo iimfuneko
ukungafinyeleli isithuba
inqubo irhafu
ubudlelwane ulwalamano
insalela intsalela
umthelela umbono
insalela intsalela
insalela intsalela
insalela intsalela
insalela intsalela
insalela intsalela
insalela ixabiso
isamba intsalela
izinsalela intsalela
insalela intsalela
isilinganisontengo intsalela
uchungechunge uqoqosho
imithelela okubangelwa
I-new uqoqosho
imicabango isikolo
Umnotho Uqoqosho
OKeynes Ii-Keynesian
i-GDP i-GDP
i-GDP imveliso
ingenisomali ingeniso
izinga Izinga
imali ingeniso
amanani amaxabiso
umholo umvuzo
izinga izinga
umkhakha amashishini
ukwedlulisa ukudluliselwa
i-oligopholi ioligopoli
amaqembu amaqela
inqubomgomo ipolisi
izimpahla impahla
ukungenqabeleki ukungakhutshelwa
ukusebenzisa inkcitho
inhlawulo iitshaji
izimiso okugqiba
konke okugqiba
ukuthenga itranzekshini
imikhiqizo iitranzekshini
ukulinganiswa isiteyitimenti
umnicntiswano ukhuphiswano
izimpahla impahla
ukudayiswa itranzekshini
umqondo ukungakhuphisani
isimo ukunganeli
izivimbo imiqobo
izimpahla impahla
inzuzo inzuzo
izinga izinga
ingxenye ezoqoqosho
ukushintshashintsha ukuba
ukucwasa ucalu
ukuhlala ukungakwazi
imithetho imvume
ubandlululo ukwahlulwa
izimali oovimba
umthetho umthetho
ukugweva ioligopoli
ubungqoshishilizi ioligopsoni
i-OPEC i-OPEC
umnotho uqoqosho
isitolo ivenkile
imisebenzi iinkqubo
inqubomgomo ipolisi
izindleko iindleko
indawo eyona
inani eyona
okusizayo iinkonzo
amakhono intsalela
Inhlangano Umbutho
umcabango ukucingela
izinkokhelo intlawulo-phandle
umthelela okubangelwa
sbantu abangaphandle
izindleko iindleko
umthetho umthetho
imali imali
ukuvota amacala
intuthuko ukuphucula
ukufezeka eyona
umqondo ingcamango
iresho ireshiyo
okususelwe iderivethivu
ukwehlukanisa ukwahluka
izinga izinga
ubambiswano ubuqabane
amabhalansi iibhalansi
intela hlawula
i-PAYE i-PAYE
idifisithi intsilelo
insalela intsalela
intela irhafu
ukubeka ukubeka
i-GDP i-GDP
i-GDP ingeniso
izenzo izivumelwano
ngakunye ngeyunithi
ukuncintisana ukhuphiswano
imakethe imakethi
imakethe imakethi
imidwebo imfuneko
imidwebo unikelo
imidwebo imfuneko
ukuhlinzekwa unikelo
ukusetshenziswa inkcitho
ukusatshalaliswa ukwabiwa
iholo ingeniso
intela irhafu
imali ukonga
izindleko iindleko
igwinci igophe
impahla inkunzi
ukubhikisha ukuqhankqalaza
uhlelo inkqubo
utshalomali utyalomali
tshala ukutyala
ukukhiqiza uqoqosho
inqubomgomo uqoqosho
umjikelezo umjikelo
intela irhafu
umgomo umgaqo
ibhalansi ibhalansi
ukuhlaziywa uqoqosho
i-GDP isikhewu
ubudlelwane ulwalamano
isitatimende isiteyitimenti
lokungelona amampunge
emva ii-post-Keynesian
ukuncintisana okunokuba
ukukhula okunokuba
umkhiqizo okunokuba
UNK intlupheko
izinga izinga
ugibe umgibe
ugibe umgibe
izidingo imfuneko
ukubeka ukubeka
izinhlelo amalungiselelo
inhlangano umbutho
indlela indlela
inani intengo
inani umlinganiselo
inani incopho
ukucwasa ucalucalu
ukushintsha Ulwalamano
ukunwebeka ulwalamano
ukubeka ukuvumelana
inani intengo
inkomba isilathisi
ubuhlahlimanani ubunkokheli
izinga inqanaba
umenzi umbekintengo
indlela inkqubo
ukungaguquki ukuqina
abathonyi abamiselintengo
ukuzinza ukuzinza
ukwesekwa inkxaso
ongenazwi umamkeli
impi imfazwe
inani ukulawulwa
igwinci igophe
ukuzinza ukuzinza
izimanga ukothusa
inqubomgomo ipolisi
ukubeka ukubeka
idifisithi ukushota
imakethe imakethi
imakethe imakethi
okgodliwe oovimba
umkhakha ushishino
inzalo izinga
ukungqubuzana ingxaki
umgomo umgaqo
ingwadla ingxaki
ikhono ukungabi
impahla impahla
inkampani inkampani
ubunikazi ubunini
impahla ipropati
osozimboni ushishino
ukulawulwa ukwenza
inqubo ukuhlaziywa
umkhiqizi umvelisi
ubukhosi ukongama
insalela intsalela
isabelo isabelo
ukwehlukaniswa ukwahluka
ukwenziwa ukuhlaziywa
ukwethula imakethi
ukukhiqiza imveliso
izindleko iindleko
ifankshini ifankshini
igwinci igophe
ukukhiqiza ukungabinankcitho
isilinganiso ukuvelisa
isivumelwane isivumelwano
ukukhula ukukhula
inzuzo inzuzo
impokophelo ukwanelisa
ukwenza ukwandisa
umthetho umthetho
ukwenza umxube
uhlelo icebo
intela irhafu
amalungelo amalungelo
intela izinga
intela izinga
intela iirhafu
ukulawula ulawulo
isikweledu ityala
impahla impahla
inkampani inkampani
umkhakha ushishino
imali imfuneko
insalela ukuhlawulwa
isidingo imfuneko
insalela intsalela
amandla amandla
ithiyori umgaqo
inqubomgomo ipolisi-mali
ikhwadranti ikhwadranti
inani isixa
ithiyori umgaqo
izimpahla impahla
ikwazi-enti okuburentirha
amakhwintali iikhwintile
isabelo umlinganiselo
inguquko inguqunguquko
izinga izinga
izinga izinga
izinga izinga
ukwenyuka izinga
ukukhetha ukhetho
umthengi umthengi
ukuziphatha ukuziphatha
ukulindela ulindelo
ithiyori umgaqo
ukuziphatha idlela
ukuhlelela ukwenza
ukubeka ukulinganisela
ukulinganisela ukulinganisela
ifankshini ifankshini
Iriganomikhi uqoqosho
umthelela isiphumo
ithiyori umgaqo
izinga izinga
ukuphuma ukumpompoza
i-GDP i-GDP
i-GNI i-GNI
ingenisomali ingeniso
izinga izinga
imali ingeniso
umkhiqizo umphumo
i-GDP i-GDO
amanani amaxabiso
umholo umvuzo
ukuntuleka ukungaqeshelwa
inzikamnotho ukungakhuli
igebe isikhewu
ukubambezeleka ukulibaziseka
ukuthenga ukwaphulela
ukuxhasa ukuboleka
inqubomgomo ipolisi
ukuntuleka ukungaqeshwa
intela irhafu
ukubamba ukubambeka
okuhle ukulungelwa
inani intengo
ukuntuleka ukunqaba
irenti irente
imali ingeniso
ukufuna indlela
izindleko indleko
ukwenziwa utyalo
inzalo izinga
imali oovimba
ukubekwa ukubekwa
imali imfuneko
ireshiyo ireshiyo
imakethe imakethi
ukubekelwa umkhwa
amabhange iibhanki
inkomba isalathisi
ukugcinwa ukubekwa
ukuhoxiswa ukwehlisa
ukubeka ukuhlola
intela itarifu
ukubuyisa ucalucalulo
ukuhlehla iripo
ingcuphe umngcipheko
ukwenqena ukuchasa
ukuqunga ukuthanda
ukuba ukungathathi
ukushitsha inguqu
ukuba ukhuphiswano
ukwenziwa imveliso
umthetho umthetho
isivumelwane isivumelwano
ukwenyuswa ukwandiswa
intela irhafu
ishejuli ucwangciso
imali iseyivingi
idiphozi imalike
isikhungo iziko
Umthetho Umthetho
izinsiza ubutyebi
ubungcosana ukunqaba
ukuntula intswela-ngqesho
ukuguquguquka ukuguquguquka
okulandelayo into
ukutelekela inyathelo
imakethe imalike
imakethe imakethi
imboni icandelo
isixazululo isicombululo
ukwehlukaniswa ucalucalu
umkhuba umkhwa
ukufezeka uqikelelo
okwanelisa umdla
ukuba ukuzanelisa
izimpahla impahla
ubukhulu ubukhulu
ukuhlaziya ukuhlolisiswa
ukwehlukana ukwahlulwa
usizo inkonzo
isabelo isahlulo
ukudembesela ukusebenza
isikhathikukhiqiza ixesha
isikhathi ixesha
ukwentuleka ukunqongophala
igwinci igophe
amagwinci igophe
ukulingana uzinzo
inkinga ingxaki
ukulahlekelwa iilahleko
igwinci igophe
iphoyinti imeko
okuphakelwayo unikelo
igwinci igophe
isikhathi uhlelo
indaba ikheyisi
iphoyinti ipoyinti
umthetho umthetho
imali iidiphozithi
umphindaphindi ukuphindaphinda
isilinganiso umlinganiselo
ukusizakala ingeniso
izindleko indleko
ukusebenza ubuchule
izinga iqondo
ukulawulwa imimiselo
ubusoshalizimu ubusoshiyali
intengo intengo
umninibhizinisi ishishini
Ibhange Ibhanki
amadiphozi iidiphozithi
umthelela iziphumo
ukukhetheka ukukhetheka
izintela iirhafu
intela irhafu
okucatshangelwayo ukuqikelela
izidingo ukufunwa
abatshala abaqikeleli
ukusebenzisa ukuchitha
Umkapakelo Ephumele
umhlomulo ingenelo
umhlomulo ingenelo
Izindleko Indleko
izindleko indleko
inani ixabiso
ukusabalalisa ukusasaza
ukuzinzisa ukuzinzisa
amazinga amanqanaba
izingakwehla istegfleyshini
abaninimasheya abachaphazeleki
izinga iqondo
umthwalo isehlo
umgudu umzila
izinga umlinganiselo
ukudambisa ukusterilayiza
isitokwe isitokhwe
ukukhula ukunyuka
inqubomgomo ipolisi
ithiyori ingcamango
ukuqina ukukhuthala
ukuntuleka intswela-ngqesho
osomnotho iingcali
imixhaso izibonelelo
izinga isibonelelo
ukukhiqizela imveliso
izimpahla iimpahla
okusesikhundleni isibambeli
okusesikhundleni izibambelindawo
umthelela iziphumo
umthelela iziphumo
umthelela iziphumo
izindleko iindleko
inzuzo inzuzo
nika ukunika
igwinci igophe
igwinci igophe
uhlinzeko ufumaniso
ishejuli ucwangciso
ukushaqeka izothuso
ezomnotho uqoqosho
inqubomgomo ipolisi
umkhiqizo imveliso
ukuvumelana iyelenqe
ibhidi ibhidi
izihibe imiqobo
ithiyori ingcamango
ukwenyuka ukuxhuma
izinhlawulo izintlu
intela irhafu
iholo isibonelelo
ukugwema ukuphepha
izigaba ibrakethi
umthwalo uxanduva
ukubalekela ukubaleka
isigameko isiganeko
izinga izinga
imali ingeniso
izintela irhafu
ukudlondlobala ukuhambela
ukuntuleka intswela-ngqesho
imibandela imiqathango
uhlelo uqoqosho
ithiyori ingcamango
ithiyori ingcamango
ukwehlukaniswa ucalucalulo
isikhungo iziko
ukuthengisa iseyile
inqubomgomo ipolisi
imali imali
imali idiphozithi
imininingwane idata
imali imali
isamba intsalela
isamba inkcitho
isamba intsalela
samba iindleko
ukuhamba ukumpompoza
isamba imfuneko
isamba imfuneko
isamba inkcitho
isamba iindleko
isamba ingeniso
isamba ephumayo
isamba imveliso
isamba intsalela
umkhiqizo imveliso
isamba inzuzo
imali ingeniso
isamba intsalela
isamba inkcitho
isamba unikelo
isamba uncedo
isamba iindleko
ukuhlola uvavanyo
ezohwebo urhwebo
ibhalansi ibhalansi
izithiyo imiqobo
inhlangano umanyano
okokulawula ulawulo
ukusungula ukudalwa
umjikelezo umjikelo
idefisithi intsilelo
uphambuko ukutshintshwa
okusele intsalela
uphawubunikazi uphawu
ukudela isisulu
umugqa umgca
ithiyori ingcamango
inani imfuneko
inani imfuneko
imalikugcina inzuzo
inkokhelo intlawulo
iminotho uqoqosho
ukusetshenziswa uncedo
amabhili iibhili
inkontileka iikontrakti
isimo i-U-form
ukwehla ukunyuka
amathuba ukuqesha
izinzuzo iingeniso
ngaqashiwe abangaqeshwanga
ukuntuleka intswela-ngqesho
isinxephezelo imbuyekezo
umshuwalensi i-Inshorensi
izinga iqondo
izimpahla iimpahla
ukulahleklwa umngcipheko
isitolo ishophu
ngakunye iyunithi
izindleko iindleko
ukuguquguquka imfuneko
ukuguquguquka ukuguquguquka
izindleko iindleko
iyunithi iyunithi
